John Yao,1838315,CEO,2017/3/1,1900/1/1
Matthew ''Cyborgmatt'' Bailey,1838315,Manager,2014/12/1,1900/1/1
Lee ''SunBhie'' Jeong-jae,1838315,Coach,2017/6/1,1900/1/1
Ayse Elvan ''L1'' Aydemir ,1838315,Analyst,2016/7/1,1900/1/1
Micha? ''Nisha'' Jankowski,1838315,1/2,2018/9/1,1900/1/1
Yeik ''MidOne'' Nai Zheng,350190,2,2015/12/1,2016/8/1
Yeik ''MidOne'' Nai Zheng,1838315,1/2,2016/8/1,1900/1/1
Ludwig ''zai'' W?hlberg,39,4,2014/2/1,2015/1/1
Ludwig ''zai'' W?hlberg,1838315,3,2015/1/1,2015/8/1
Ludwig ''zai'' W?hlberg,39,4,2016/6/1,2017/8/1
Ludwig ''zai'' W?hlberg,1838315,3,2018/9/1,1900/1/1
Yazied ''YapzOr'' Jaradat,1838315,4,2017/5/1,1900/1/1
Clement ''Puppey'' Ivanov ,36,5,2011/6/1,2014/8/1
Clement ''Puppey'' Ivanov ,1838315,5,2014/8/1,1900/1/1
Dmitriy “Nukem” Shishkov,1883502,Manager,2017/9/1,1900/1/1
Vitaliy “Sword Art” Petkin ,1883502,Analyst,2019/6/1,1900/1/1
Arseniy ''ArsZeeqq'' Usov,1883502,Coach,2018/9/1,1900/1/1
Roman ''RAMZES666'' Kushnarev ,1883502,1,2016/8/1,2019/9/1
Roman ''RAMZES666'' Kushnarev ,39,3,2019/9/19,1900/1/1
Vladimir ''No[o]ne'' Minenko,1883502,2,2016/8/1,1900/1/1
Pavel ''9pasha'' Khvastunov,1883502,3,2016/8/1,2019/9/1
Pavel ''9pasha'' Khvastunov,36,3,2019/9/19,1900/1/1
Vladimir ''RodjER'' Nikogosyan ,36,4,2017/9/1,2018/2/1
Vladimir ''RodjER'' Nikogosyan ,1883502,4,2018/2/1,1900/1/1
Alexei ''Solo'' Berezin ,1883502,5,2016/8/1,1900/1/1
Bai ''rOtk'' Fan,15,3,2015/8/1,2016/3/1
Bai ''rOtk'' Fan,726228,3,2016/3/1,2016/9/1
Bai ''rOtk'' Fan,726228,Coach,2018/9/1,1900/1/1
Xu ''JaL'' Xiaoyun,726228,Manager,1900/1/1,1900/1/1
Zhou ''HK'' Haokang,726228,Leader,1900/1/1,1900/1/1
Zhang ''Paparazi灬'' Chengjun,726228,1,2017/9/1,1900/1/1
Zeng ''Ori'' Jiaoyang?,726228,2,2017/1/1,1900/1/1
Zhou?''Yang''?Haiyang,726228,3,2016/9/1,2017/9/1
Zhou?''Yang''?Haiyang,726228,3,2018/9/1,1900/1/1
Pan ''Fade'' Yi,726228,4,2018/9/1,2019/9/1
Ding ''Dy'' Cong,726228,5,2018/9/1,1900/1/1
Nicole LaPointe ''totheLapointe'' Jameson,39,CEO,2019/5/1,1900/1/1
 Phillip ''Tallgeese'' Aram,39,COO,2015/7/1,1900/1/1
Grant ''GranDGranT'' Harris ,39,Streamer,2017/10/1,1900/1/1
Kanishka ''BuLba'' Sosale ,39,Coach,2017/12/1,1900/1/1
Wilson ''Fronz'' Teng ,39,Manager,1905/7/11,1900/1/1
Sarah ''StrawberryDota'' Loomis ,39,L3215183istics Manager,1905/7/11,1900/1/1
Artour ''Arteezy'' Babaev,39,2,2014/2/1,2015/1/1
Artour ''Arteezy'' Babaev,1838315,1,2015/1/1,2015/8/1
Artour ''Arteezy'' Babaev,39,1,2015/8/1,2016/3/1
Artour ''Arteezy'' Babaev,1838315,1,2016/3/1,2016/8/1
Artour ''Arteezy'' Babaev,39,1,2016/9/1,1900/1/1
Syed Sumail ''SumaiL'' Hassan,39,2,2015/1/1,1900/1/1
Gustav ''s4'' Magnusson,111474,2,2013/4/1,2014/9/1
Gustav ''s4'' Magnusson,1838315,2,2014/9/1,2015/8/1
Gustav ''s4'' Magnusson,111474,2,2015/8/1,2016/8/1
Gustav ''s4'' Magnusson,3215183,3,2016/8/1,2018/5/1
Gustav ''s4'' Magnusson,39,3,2018/5/1,1900/1/1
Andreas Franck ''Cr1t-'' Nielsen,3215183,4,2015/10/1,2016/8/1
Andreas Franck ''Cr1t-'' Nielsen,39,4,2016/9/1,1900/1/1
Tal ''Fly'' Aizik,3215183,5,2015/10/1,2018/5/1
Tal ''Fly'' Aizik,39,5,2018/5/1,1900/1/1
Victor ''Nazgul'' Goossens ,2163,Co-owner & Co-CEO,1900/1/1,1900/1/1
Steve ''LiQuiD112'' Arhancet ,2163,Co-owner & Co-CEO ,2015/1/1,1900/1/1
Mohamed ''almany-'' Morad ,2163,Manager ,2015/10/1,1900/1/1
Roman ''rmN-'' Paley ,2163,Coach ,1900/1/1,1900/1/1
Lasse ''MATUMBAMAN'' Urpalainen ,2163,1/2,2015/10/1,2019/6/1
Lasse ''MATUMBAMAN'' Urpalainen ,7439348,2,2019/6/1,1900/1/1
Amer ''Miracle-'' Al-Barkawi ,3215183,2,2015/10/1,2016/8/1
Amer ''Miracle-'' Al-Barkawi ,2163,1/2,2016/9/1,1900/1/1
Ivan ''MinD_ContRoL'' Ivanov ,2163,3,2015/10/1,1900/1/1
Maroun ''GH'' Merhej ,2163,4,2017/1/1,1900/1/1
Kuro ''KuroKy'' Salehi Takhasomi ,36,4,2013/2/1,2014/8/1
Kuro ''KuroKy'' Salehi Takhasomi ,1838315,4,2014/8/1,2015/8/1
Kuro ''KuroKy'' Salehi Takhasomi ,2163,5,2015/10/1,1900/1/1
Aliwi ''w33'' Omar,7439348,2,2019/1/1,2019/6/1
Aliwi ''w33'' Omar,2163,2,2019/6/1,1900/1/1
Pan ''RuRu'' Jie,15,CEO,1900/1/1,1900/1/1
Pan ''Fei'' Fei,15,General Manager ,1900/1/1,1900/1/1
Gui ''Tol'' Xulong ,15,Team Leader ,1900/1/1,1900/1/1
Yao ''Yao'' Zhengzheng ,15,Coach ,2019/3/1,1900/1/1
Wang ''Ame'' Chunyu ,15,1,2016/9/1,1900/1/1
Lu ''Somnus丶M'' Yao ,15,2,2015/3/1,1900/1/1
Yang ''Chalice'' Shenyi ,15,3,2017/12/1,1900/1/1
Xu ''fy'' Linsen ,726228,4,2012/10/1,2017/9/1
Xu ''fy'' Linsen ,15,4,2017/9/1,1900/1/1
Jian Wei ''xNova'' Yap,15,5,2018/1/1,1900/1/1
Eric ''ReiNNNN'' Khor ,350190,Manager,2015/6/1,1900/1/1
John Paolo ''Sandata'' Bago Gonzales ,350190,Analyst,2018/12/1,1900/1/1
Anucha ''Jabz'' Jirawong ,mineski,4,2017/8/1,2018/9/1
Anucha ''Jabz'' Jirawong ,350190,1,2018/9/1,1900/1/1
Abed ''Abed'' Azel Yusop ,350190,2,2017/11/1,2019/9/1
Abed ''Abed'' Azel Yusop ,39,2,2019/9/1,1900/1/1
Daryl Koh ''iceiceice'' Pei Xiang ,mineski,3,2017/8/1,2018/9/1
Daryl Koh ''iceiceice'' Pei Xiang ,350190,3,2018/9/1,1900/1/1
Djardel ''DJ'' Mampusti ,350190,4,2017/4/1,1900/1/1
Kim ''DuBu'' Doo-young ,350190,coach,2018/9/1,2019/6/1
Kim ''DuBu'' Doo-young ,350190,5,2019/6/1,1900/1/1
Hicham Chahine ,5110520,CEO,1900/1/1,1900/1/1
Danika ''Danimals'' Teo ,5110520,Manager,2019/9/1,1900/1/1
Marcus ''Ace'' Hoelgaard ,1838315,1,2017/9/1,2018/9/1
Marcus ''Ace'' Hoelgaard ,5110520,1,2018/9/1,1900/1/1
Adrian ''Fata'' Trinks ,2163,2,2015/10/1,2016/9/1
Adrian ''Fata'' Trinks ,1838315,3,2017/9/1,2018/9/1
Adrian ''Fata'' Trinks ,5110520,2,2018/9/1,2019/9/1
Adrian ''Fata'' Trinks ,111474,5,2019/9/1,1900/1/1
Neta ''33'' Shapira ,5110520,3,2018/9/1,2019/9/1
Neta ''33'' Shapira ,111474,3,2019/9/1,1900/1/1
Martin ''Saksa'' Sazdov ,5110520,4,2018/9/1,1900/1/1
Peter ''ppd'' Dager ,39,5,2014/2/1,2016/9/1
Peter ''ppd'' Dager ,5110520,5,2018/9/1,1900/1/1
Arjay ''papadom'' Domdom ,2108395,Manager,2018/12/1,1900/1/1
Kim ''Gabbi'' Villafuerte ,2108395,1,2018/9/1,1900/1/1
Armel Paul ''Armel'' Tabios ,2108395,2,2018/1/1,1900/1/1
Oliver ''izpAH'' Steer ,3215183,Manager,1900/1/1,1900/1/1
Titouan ''Sockshka'' Merloz ,3215183,Coach,2019/4/1,1900/1/1
Mia ''Roro'' Stellberg ,3215183,Psychol3215183ist ,1900/1/1,1900/1/1
Anathan ''ana'' Pham ,3215183,2,2016/8/1,2017/8/1
Anathan ''ana'' Pham ,3215183,1,2018/6/1,1900/1/1
Topias ''Topson'' Taavitsainen ,3215183,2,2018/6/1,1900/1/1
Sébastien ''Ceb'' Debs ,3215183,coach,2016/5/1,2018/6/1
Sébastien ''Ceb'' Debs ,3215183,3,2018/6/1,1900/1/1
Jesse ''JerAx'' Vainikka ,2163,4,2015/10/1,2016/8/1
Jesse ''JerAx'' Vainikka ,3215183,4,2016/8/1,1900/1/1
Johan ''N0tail'' Sundstein ,1838315,1,2014/8/1,2015/1/1
Johan ''N0tail'' Sundstein ,3215183,5,2015/10/1,1900/1/1
Jonathan ''Loda'' Berg ,111474,1,2013/4/1,2018/6/1
Jonathan ''Loda'' Berg ,111474,Co-owner / Coach ,2016/12/1,1900/1/1
Joakim ''Akke'' Akterhall ,111474,5,2013/4/1,2016/8/1
Joakim ''Akke'' Akterhall ,111474,Co-owner ,2016/12/1,1900/1/1
Henrik ''AdmiralBulldog'' Ahnberg ,111474,3,2013/4/1,2016/8/1
Henrik ''AdmiralBulldog'' Ahnberg ,111474,Co-owner / Streamer ,2016/11/1,1900/1/1
Marcus ''Caramon'' Lundberg ,111474,Manager,1900/1/1,1900/1/1
Kelly Ong ''kellymilkies'' Xiao Wei ,111474,Chief Strat39y Officer ,1900/1/1,1900/1/1
Michael ''miCKe'' Vu ,111474,1,2017/11/1,2019/9/1
Michael ''miCKe'' Vu ,2163,1,2019/9/1,1900/1/1
Maximilian ''qojqva'' Br?cker ,111474,2,2018/6/1,2019/9/1
Maximilian ''qojqva'' Br?cker ,2163,2,2019/9/1,1900/1/1
Samuel ''Boxi'' Svahn ,111474,3,2017/11/1,2019/9/1
Samuel ''Boxi'' Svahn ,2163,3,2019/9/1,1900/1/1
Tommy ''Taiga'' Le ,111474,4,2017/11/1,2019/9/1
Tommy ''Taiga'' Le ,2163,4,2019/9/1,1900/1/1
Aydin ''iNSaNiA'' Sarkohi ,111474,5,2017/11/1,2019/9/1
Aydin ''iNSaNiA'' Sarkohi ,2163,5,2019/9/1,1900/1/1
Wu ''Fyms'' Junying ,2626685,Manager,2017/9/1,1900/1/1
Zhang ''LaNm'' Zhicheng ,726228,Coach,2017/5/1,2017/9/1
Zhang ''LaNm'' Zhicheng ,726228,4,2017/9/1,2018/9/1
Zhang ''LaNm'' Zhicheng ,6209804,4,2019/2/1,2019/9/1
Zhang ''LaNm'' Zhicheng ,2626685,Coach,2019/9/1,1900/1/1
Chen ''TheOne'' Peng ,2626685,Leader ,2017/9/1,1900/1/1
Wang ''old chicken'' Zhiyong ,2626685,1,2018/9/1,1900/1/1
Zhai ''一'' Jingkai ,2626685,2,2018/4/1,1900/1/1
Ren ''eLeVeN'' Yangwei ,15,3,2017/3/1,2017/9/1
Ren ''eLeVeN'' Yangwei ,726228,3,2017/9/1,2018/9/1
Ren ''eLeVeN'' Yangwei ,2626685,3,2018/9/1,1900/1/1
Hu ''Kaka'' Liangzhi ,1375614,4,2016/3/1,2018/9/1
Hu ''Kaka'' Liangzhi ,2626685,4,2018/9/1,1900/1/1
Song ''dark'' Runxi ,2626685,5,2017/9/1,1900/1/1
Wang ''Banana'' Jiao ,1375614,4,2014/3/1,2016/3/1
Wang ''Banana'' Jiao ,15,coach,2016/3/1,2017/1/1
Wang ''Banana'' Jiao ,1375614,Manager,2018/9/1,1900/1/1
Li ''Key'' Guo ,1375614,Coach,2019/9/1,1900/1/1
Tong ''CuZn'' Xin ,1375614,CEO,1900/1/1,1900/1/1
Yawar ''YawaR'' Hassan ,1375614,1,2019/7/1,2019/9/1
Quinn ''CCnC'' Callahan ,1375614,2,2019/7/1,2019/9/1
Jingjun ''Sneyking'' Wu ,1375614,3,2019/7/1,2019/9/1
Arif ''MSS'' Anwar,1375614,4,2019/7/1,2019/9/1
Johan ''pieliedie'' ?str?m ,1838315,4,2015/8/1,2017/5/1
Johan ''pieliedie'' ?str?m ,350190,5,2017/8/1,2018/9/1
Johan ''pieliedie'' ?str?m ,mineski,5,2018/11/1,2019/3/1
Johan ''pieliedie'' ?str?m ,1375614,5,2019/7/1,2019/9/1
Christian ''Xtian'' Roque ,2672298,Team Owner ,1900/1/1,1900/1/1
Josue ''Bleu'' Ferrando ,2672298,Chief Marketing Officer,1900/1/1,1900/1/1
Jose ''Raylock'' Gonzalez ,2672298,Chief Operating Officer,1900/1/1,1900/1/1
Christian ''Alucard'' Kimura ,2672298,1,2019/9/1,1900/1/1
Sebastian ''Robo-Z'' Cerralta ,2672298,2,2019/9/1,1900/1/1
Benjamín ''Benjaz'' Lanao ,2672298,3,2019/9/1,1900/1/1
Alexis ''sl4d1n-'' Cepeda ,2672298,4,2019/9/1,1900/1/1
Mariano ''Papita'' Caneda ,2672298,5,2019/9/1,1900/1/1
Gregory ''WhatIsHip'' Laird ,7439348,CEO,2017/12/1,1900/1/1
Jared ''pandaeg0'' Fletcher ,7439348,"General Manager 
",2018/1/1,1900/1/1
Robson ''TeaGuvnor'' Merritt ,7439348,Manager,2019/1/1,1900/1/1
Cheng ''vtFαded'' Jia Hao ,7439348,1,2019/6/1,1900/1/1
Maurice '' KheZu'' Gutmann ,1838315,3,2016/11/1,2017/8/1
Maurice '' KheZu'' Gutmann ,7439348,3,2019/5/1,1900/1/1
Milan ''MiLAN'' Kozomara ,7439348,4,2019/5/1,1900/1/1
Rasmus ''MISERY'' Berth Filipsen ,39,4,2011/10/1,2012/5/1
Rasmus ''MISERY'' Berth Filipsen ,1838315,4,2015/8/1,2016/3/1
Rasmus ''MISERY'' Berth Filipsen ,39,5,2017/12/1,2018/5/1
Rasmus ''MISERY'' Berth Filipsen ,7439348,5,2019/1/1,1900/1/1
Yevhen ''HarisPilton'' Zolotarov ,36,CEO,1900/1/1,1900/1/1
Igor ''Caff'' Sydorenko ,36,Manager,1900/1/1,1900/1/1
Dmitry ''Dakota'' Shymko ,36,Analyst,1900/1/1,1900/1/1
Andrey ''Mag'' Chipenko ,36,Coach,2018/9/1,1900/1/1
Vladislav ''Crystallize'' Krystanek ,36,1,2017/9/1,1900/1/1
Idan ''MagicaL'' Vardanian ,36,2,2018/9/1,1900/1/1
Evgeniy ''Blizzy'' Ree ,36,3,2018/9/1,1900/1/1
Bakyt ''Zayac'' Emilzhanov ,36,4,2019/4/1,1900/1/1
Akbar ''SoNNeikO'' Butaev ,36,5,2018/9/1,1900/1/1
Xie ''Super'' Junhao ,726228,2,2013/9/1,2016/3/1
Xie ''Super'' Junhao ,6209804,Coach,2019/4/1,1900/1/1
Du ''Monet'' Peng ,6209804,1,2018/9/1,1900/1/1
Gao ''Setsu'' Zhenxiong,6209804,2,2018/9/1,1900/1/1
Su ''Flyby'' Lei,6209804,3,2019/4/1,1900/1/1
Tue ''ah fu'' Soon Chuan,6209804,5,2018/9/1,1900/1/1
Ronald ''Rhom'' Robins ,mineski,CEO,1900/1/1,1900/1/1
Yap Chee ''Kenchi'' Loong ,mineski,Vice President & Coach ,2011/1/1,1900/1/1
Zak ''DashOCE'' Holman ,mineski,Manager ,1900/1/1,1900/1/1
Chai ''Mushi'' Yee Fung,350190,1,2015/6/1,2017/2/1
Chai ''Mushi'' Yee Fung,mineski,1,2017/3/1,2018/11/1
Chai ''Mushi'' Yee Fung,2626685,5,2019/9/1,1900/1/1
Kam ''Moon'' Boon Seng,mineski,2,2017/8/1,2019/9/1
Kam ''Moon'' Boon Seng,350190,2,2019/9/1,1900/1/1
